,name,category,sim
436,훈초밥 미사본점,일식집,tensor([[0.2730]])
437,가나점보돈까쓰,돈가스,tensor([[0.1419]])
438,달빛과일 하남점,카페,tensor([[0.3189]])
439,마라이쉔,중국집,tensor([[0.2381]])
440,브런치빈 미사점,까페,tensor([[0.1185]])
441,에이트리 카페,카페,tensor([[0.3369]])
442,Permanent Chillin' 퍼머넌트 칠린,카페,tensor([[0.3031]])
443,삼덕통닭 미사점,치킨,tensor([[0.3765]])
444,천호용궁알탕 하남미사점,한식당,tensor([[0.2597]])
445,식껍 하남감일점,고기,tensor([[0.3971]])
446,피자미남 하남미사점,피자,tensor([[0.4045]])
447,백스비어 하남 미사점,호프,tensor([[0.2884]])
448,스푸키(Spookie),카페,tensor([[0.2785]])
449,종로김밥 미사역점,분식,tensor([[0.1941]])
450,착한파스타 하남미사점,양식,tensor([[0.0691]])
451,그린스미스&에그존 하남미사점,야채,tensor([[0.3240]])
452,파스쿠찌 하남감일DI점,카페,tensor([[0.3560]])
453,피자나라치킨공주 위례신도시점,피자,tensor([[0.5567]])
454,장가짜장 24시,중국집,tensor([[0.3123]])
455,고기극찬 하남미사점,고기,tensor([[0.2777]])
456,아리수 정육식당,고기,tensor([[0.3906]])
457,이속우화 구우몽,한식당,tensor([[0.2941]])
458,안주가 하남미사점,식당,tensor([[0.2170]])
459,풍미숯불꼼장어,해물,tensor([[0.1855]])
460,미뜸,한식당,tensor([[0.3422]])
461,누들코드,아시안 음식,tensor([[0.3060]])
462,카페시나몬가든,카페,tensor([[0.3568]])
463,면면히,분식,tensor([[0.2373]])
464,깐부 불쭈꾸미 동태탕,해물,tensor([[0.1885]])
465,유브유부 위례점,일식당,tensor([[0.2958]])
466,신전떡볶이 감일점,분식,tensor([[0.2824]])
467,나무루,일식집,tensor([[0.2300]])
468,에이치 베이커,베이커리,tensor([[0.3783]])
469,라멘온도,일식당,tensor([[0.3601]])
470,카츠소당 하남점,돈가스,tensor([[0.1166]])
471,별에서 온 토끼,일식당,tensor([[0.3586]])
472,한결보쌈 하남점,고기,tensor([[0.2753]])
473,포케올데이 하남미사점,야채,tensor([[0.3170]])
474,이비티(ebt) 스타필드 하남점,양식,tensor([[0.1169]])
475,피자알볼로 감일거여점,피자,tensor([[0.3826]])
476,BBQ 하남미사중앙점,치킨,tensor([[0.3526]])
477,삼백돈 돈가츠 하남미사점,돈가스,tensor([[0.1607]])
478,레이크 비스트로,양식,tensor([[0.1512]])
479,토담옛날통닭 하남학암동점,치킨,tensor([[0.3818]])
480,제이에이치 브루잉(JH Brewing),식당 아님,tensor([[0.1673]])
481,마라촉 마라탕&마라샹궈,중국집,tensor([[0.2493]])
482,빽정,한식당,tensor([[0.3630]])
483,고기랑 조개당,해물,tensor([[0.1318]])
484,미사국물닭발1982,고기,tensor([[0.2720]])
485,피자하우스 미사스마트밸리점,피자,tensor([[0.3888]])
486,싸다김밥 미사역점,분식,tensor([[0.1906]])
487,궁사부,일식당,tensor([[0.2921]])
488,명품키친 하남점,한식당,tensor([[0.3658]])
489,바다동태탕솥밥전문점 하남풍산직영점,한식당,tensor([[0.2834]])
